hidden,dropout,weight_decay,lr,best_val_loss,best_epoch,val_acc
16,0.5,0.01,0.0003,0.6964278817176819,1,0.4908424908424908
16,0.5,0.001,0.0003,0.6964288353919983,1,0.4908424908424908
16,0.3,0.001,0.0003,0.6969761252403259,1,0.48443223443223443
16,0.3,0.01,0.0003,0.696976900100708,1,0.48443223443223443
16,0.3,0.01,0.001,0.6971915364265442,16,0.5018315018315018
16,0.3,0.001,0.001,0.6984334588050842,14,0.51007326007326
16,0.5,0.001,0.001,0.6986992955207825,1,0.4835164835164835
16,0.5,0.01,0.001,0.6987019777297974,1,0.4835164835164835
32,0.5,0.001,0.0003,0.6995353698730469,1,0.4816849816849817
32,0.5,0.01,0.0003,0.6995362639427185,1,0.4816849816849817
32,0.3,0.01,0.0003,0.7000322937965393,1,0.4835164835164835
32,0.3,0.001,0.0003,0.7000366449356079,1,0.4835164835164835
32,0.5,0.01,0.001,0.7011210322380066,1,0.4835164835164835
32,0.5,0.001,0.001,0.7011311650276184,1,0.4835164835164835
32,0.3,0.01,0.001,0.7029234766960144,1,0.47893772893772896
32,0.3,0.001,0.001,0.7029456496238708,1,0.47893772893772896
