k,n,accuracy,f1
1,10895,0.609453877925654,0.525164602164937
3,10895,0.6092703074804956,0.5269474386042894
5,10895,0.607251032583754,0.5248195446973904
10,10895,0.6075263882514915,0.5247832851744832
20,10895,0.6081688848095457,0.5252974535750028
