horizon,comparison,acc_a,acc_b,delta,n01,n10,method,statistic,pvalue,alpha_corrected,significant
1,E0 vs E3,0.5586966498393758,0.5533731069297843,-0.005323542909591583,916,974,chi2-cc,1.7190476190476192,0.18981568346176042,0.01,False
1,E3 vs E4,0.5533731069297843,0.5631941257457549,0.009821018815970639,1064,957,chi2-cc,5.5596239485403265,0.018379361825586735,0.01,False
1,E3 vs E7,0.5533731069297843,0.5511702615878844,-0.0022028453418998506,1681,1705,chi2-cc,0.15623154164205552,0.6926500137806484,0.01,False
1,E4 vs E7,0.5631941257457549,0.5511702615878844,-0.01202386415787049,859,990,chi2-cc,9.140075716603569,0.0025007075321763334,0.01,True
1,E6 vs E7,0.5508949059201469,0.5511702615878844,0.0002753556677375091,1694,1691,chi2-cc,0.0011816838995568684,0.9725776168711844,0.01,False
5,E0 vs E3,0.5425424506654428,0.5539238182652593,0.01138136759981645,1318,1194,chi2-cc,6.022691082802548,0.014123095503632707,0.01,False
5,E3 vs E4,0.5539238182652593,0.6129417163836622,0.05901789811840297,2021,1378,chi2-cc,121.2603706972639,3.351314442611214e-28,0.01,True
5,E3 vs E7,0.5539238182652593,0.607251032583754,0.05332721431849474,2205,1624,chi2-cc,87.85583703316793,7.040317152336098e-21,0.01,True
5,E4 vs E7,0.6129417163836622,0.607251032583754,-0.005690683799908225,584,646,chi2-cc,3.0252032520325205,0.08198004835001123,0.01,False
5,E6 vs E7,0.5777879761358421,0.607251032583754,0.029463056447911917,1756,1435,chi2-cc,32.09025383892197,1.4717378659004822e-08,0.01,True
20,E0 vs E3,0.5898118402937127,0.5815511702615879,-0.008260670032124828,410,500,chi2-cc,8.704395604395604,0.003174436493390601,0.01,True
20,E3 vs E4,0.5815511702615879,0.5998164295548417,0.018265259293253844,1064,865,chi2-cc,20.32348367029549,6.539303930728465e-06,0.01,True
20,E3 vs E7,0.5815511702615879,0.6744378155117026,0.0928866452501147,2479,1467,chi2-cc,259.0271160669032,2.7962957699218568e-58,0.01,True
20,E4 vs E7,0.5998164295548417,0.6744378155117026,0.07462138595686085,2166,1353,chi2-cc,187.36686558681444,1.1942851083847973e-42,0.01,True
20,E6 vs E7,0.6370812299219826,0.6744378155117026,0.03735658558971999,1746,1339,chi2-cc,53.43144246353322,2.677764923664585e-13,0.01,True
