coverage,n,accuracy
0.05,42188,0.5156442590310041
0.1,84376,0.5126931828956102
0.15,126564,0.5117806011188015
0.2,168753,0.5106872174124312
0.3,253129,0.509250224193988
0.5,421882,0.5072484723216445
0.75,632823,0.5058096813801015
1.0,843765,0.5047400638803459
