coverage,n,accuracy
0.05,11425,0.5096717724288841
0.1,22851,0.5055796245240909
0.15,34276,0.5080814564126502
0.2,45702,0.5068049538313422
0.3,68553,0.5042959462022085
0.5,114255,0.5025513106647411
0.75,171382,0.5023864816608512
1.0,228510,0.5017242133823465
