coverage,n,accuracy
0.05,42188,0.5272589361903859
0.1,84376,0.5199345785531431
0.15,126564,0.5164817799690276
0.2,168753,0.5137153117277915
0.3,253129,0.5107632867036175
0.5,421882,0.5092632537060126
0.75,632823,0.5084328477315142
1.0,843765,0.5062298151736562
