coverage,n,accuracy
0.05,42188,0.5228975063999242
0.1,84376,0.5151109320185835
0.15,126564,0.5127840460162447
0.2,168753,0.5106042559243391
0.3,253129,0.5091712130968794
0.5,421882,0.5062647849398647
0.75,632823,0.504423827831795
1.0,843765,0.5028769858906212
