coverage,n,accuracy
0.05,42188,0.5246989665307671
0.1,84376,0.5192353275813028
0.15,126564,0.516149932050188
0.2,168753,0.5157360165448911
0.3,253129,0.5134852189990085
0.5,421882,0.5117212869949417
0.75,632823,0.5098424045902251
1.0,843765,0.5077326032722381
