coverage,n,accuracy
0.05,11425,0.4964551422319475
0.1,22851,0.49669598704651874
0.15,34276,0.49576963472984015
0.2,45702,0.49997811911951334
0.3,68553,0.5001094044024331
0.5,114255,0.5017635989672224
0.75,171382,0.5015870978282433
1.0,228510,0.5004945078989979
