coverage,n,accuracy
0.05,42188,0.5288470655162606
0.1,84376,0.5194960652318195
0.15,126564,0.5160946240637148
0.2,168753,0.5121331176334643
0.3,253129,0.5106921767162198
0.5,421882,0.5085142290972358
0.75,632823,0.5068984534380071
1.0,843765,0.5051430196796501
