coverage,n,accuracy
0.05,42188,0.5372617806011188
0.1,84376,0.5246752631079928
0.15,126564,0.5191602667425176
0.2,168753,0.5138634572422416
0.3,253129,0.5079465410916963
0.5,421882,0.503809121981976
0.75,632823,0.5015746899211944
1.0,843765,0.5009712419927349
