coverage,n,accuracy
0.05,42188,0.5211434531146297
0.1,84376,0.5178842324831706
0.15,126564,0.5143563730602699
0.2,168753,0.5135908694956534
0.3,253129,0.5131928779397066
0.5,421882,0.5118848398367316
0.75,632823,0.509298808671619
1.0,843765,0.5077705285239373
