coverage,n,accuracy
0.05,42188,0.5299137195411018
0.1,84376,0.5204916089883379
0.15,126564,0.5191365633197433
0.2,168753,0.5163523018850035
0.3,253129,0.5131375701717307
0.5,421882,0.5107138963027577
0.75,632823,0.5083475158140586
1.0,843765,0.5065249210384408
