coverage,n,accuracy
0.05,42188,0.5322129515502039
0.1,84376,0.5222338105622452
0.15,126564,0.5175642362757182
0.2,168753,0.5146101106350702
0.3,253129,0.5109489627818227
0.5,421882,0.5093035493336999
0.75,632823,0.5072966690527999
1.0,843765,0.5056680473828613
